,21706894,21505186,21712798,20144769,21507122,21502642,21705472,21000002,21712227,21507151,21708799,21507879,21506945,21710720,21506961,21506147,21503233,21712091,21707432,21503981,21404529,21500572,20134250,21712084,21513144,21000001,21708325,21602558,20140777,21707228,21502689,21504350,21710385,21504427,21500179,20140524,21507221,21501136,21505282,21703318
21706894,-1,TB,AB,AR,AB,P,B,AR,B,B,I,P,AR,I,AR,B,AB,P,AR,AB,AR,AR,TB,I,P,TB,B,B,AB,AR,I,AB,TB,AB,I,P,AB,I,P,B
21505186,AB,-1,P,AB,AB,AB,TB,I,TB,AR,P,AR,TB,B,I,AB,I,AB,TB,P,I,I,I,I,B,B,TB,AR,I,B,I,P,I,P,I,AB,AR,TB,AB,B
21712798,AB,I,-1,B,B,B,P,B,P,B,TB,P,AR,B,TB,P,B,I,AR,I,TB,P,I,I,P,I,I,B,B,AR,TB,AR,B,AB,I,TB,B,AR,P,P
20144769,B,TB,I,-1,I,AR,B,AR,AR,AR,B,AB,AB,I,I,TB,P,I,AR,I,P,TB,AB,AR,AR,TB,P,AB,TB,TB,P,P,AB,I,AB,AB,P,AR,TB,AB
21507122,B,AB,AR,TB,-1,AR,P,P,B,P,I,B,AB,P,I,P,P,TB,TB,AB,AR,AR,TB,AB,P,AB,I,AR,TB,P,TB,AB,AB,AR,I,P,I,I,AR,AB
21502642,AR,TB,P,P,AR,-1,I,I,TB,AR,I,AR,I,TB,P,B,AB,P,I,I,TB,P,AB,I,I,AB,AR,P,P,AR,I,P,AB,TB,TB,TB,TB,B,AR,AB
21705472,P,AB,TB,B,AB,I,-1,P,TB,B,I,AR,AB,AB,AR,TB,I,TB,I,P,I,TB,AR,P,AB,P,AB,P,TB,TB,B,P,AR,TB,AR,AB,I,AB,AB,P
21000002,B,AR,TB,B,AB,P,I,-1,AR,AB,I,I,TB,TB,AB,I,AB,AB,AB,B,AB,I,AR,P,B,I,AR,TB,AB,AR,I,I,TB,I,B,P,TB,TB,TB,AR
21712227,B,TB,AR,P,I,AR,AB,AR,-1,I,AB,B,TB,AR,TB,B,B,I,AR,AB,AB,B,P,AB,AB,AB,TB,B,I,AB,TB,P,AB,AB,B,AR,B,AR,AR,TB
21507151,TB,TB,I,AB,AR,TB,TB,P,AR,-1,B,TB,B,TB,P,I,P,B,AB,B,B,TB,I,B,P,I,I,TB,TB,AR,TB,AR,I,AB,P,I,AR,B,B,P
21708799,AR,P,I,P,P,AB,P,AB,I,P,-1,I,P,AB,B,AB,I,TB,B,AB,TB,TB,I,I,B,P,AR,B,B,TB,TB,P,AR,TB,I,B,P,B,TB,AR
21507879,B,P,TB,AR,TB,AR,I,P,TB,TB,TB,-1,B,I,AR,TB,P,B,I,AB,TB,B,P,AB,AB,B,AR,AR,AR,I,P,I,P,I,AR,B,I,B,AB,AR
21506945,AB,TB,B,TB,TB,I,AB,P,I,P,AR,AB,-1,TB,AB,B,AB,B,B,AB,TB,AB,I,B,TB,TB,AB,TB,P,TB,P,AB,AR,TB,AB,I,B,AR,AB,AR
21710720,B,I,I,I,TB,B,AB,TB,AR,TB,AB,AB,B,-1,AR,I,B,P,I,I,AR,AB,I,AB,AR,TB,P,P,P,B,I,AR,I,AB,P,P,B,AB,P,I
21506961,AB,B,I,B,AR,AB,TB,AR,AB,TB,P,TB,B,P,-1,B,AB,TB,AB,AR,B,TB,TB,AB,I,AR,I,AR,P,AR,I,AR,P,AB,P,AR,B,AB,TB,TB
21506147,I,I,TB,P,I,AB,TB,P,AB,AR,AB,P,B,TB,TB,-1,P,AR,AB,TB,P,B,B,B,TB,I,AB,B,AB,AR,AR,AB,AB,I,B,AR,AB,B,AR,I
